trip_driver_id,trip_id,driver_id,driver_role,hours_driven
11183,7595,371,Primary,7.24
11184,7595,260,Second Driver,6.47
11185,7596,189,Primary,25.59
11186,7597,158,Primary,5.18
11187,7597,414,Second Driver,5.36
11188,7598,329,Primary,11.25
11189,7598,362,Second Driver,9.55
11190,7599,109,Primary,35.81
11191,7600,61,Primary,20.29
11192,7601,196,Primary,12.97
11193,7602,328,Primary,7.99
11194,7602,418,Second Driver,8.19
11195,7603,248,Primary,10.81
11196,7604,309,Primary,4.68
11197,7605,341,Primary,17.32
11198,7605,220,Second Driver,15.09
11199,7606,347,Primary,5.4
11200,7607,232,Primary,13.76
11201,7608,47,Primary,3.01
11202,7609,124,Primary,1.21
11203,7610,284,Primary,15.11
11204,7610,69,Second Driver,14.28
11205,7611,39,Primary,18.22
11206,7612,57,Primary,13.93
11207,7612,106,Second Driver,15.47
11208,7613,410,Primary,13.64
11209,7614,368,Primary,11.52
11210,7614,110,Second Driver,12.4
11211,7615,104,Primary,10.62
11212,7615,53,Second Driver,10.63
11213,7616,287,Primary,7.47
11214,7616,156,Second Driver,6.73
11215,7617,365,Primary,29.53
11216,7618,234,Primary,17.48
11217,7619,7,Primary,6.89
11218,7619,102,Second Driver,7.06
11219,7620,323,Primary,19.63
11220,7620,192,Second Driver,20.79
11221,7621,257,Primary,48.11
11222,7622,215,Primary,12.31
11223,7623,241,Primary,15.14
11224,7623,412,Second Driver,16.7
11225,7624,370,Primary,16.01
11226,7625,404,Primary,12.9
11227,7625,287,Second Driver,11.37
11228,7626,80,Primary,10.06
11229,7626,405,Second Driver,9.85
11230,7627,305,Primary,16.92
11231,7628,417,Primary,6.13
11232,7628,248,Second Driver,6.26
11233,7629,404,Primary,15.45
11234,7629,245,Second Driver,14.72
11235,7630,94,Primary,33.01
11236,7631,59,Primary,8.98
11237,7631,256,Second Driver,8.73
11238,7632,271,Primary,46.5
11239,7633,414,Primary,15.24
11240,7633,398,Second Driver,17.68
11241,7634,313,Primary,8.73
11242,7634,84,Second Driver,8.23
11243,7635,271,Primary,17.29
11244,7635,6,Second Driver,19.02
11245,7636,162,Primary,29.9
11246,7637,15,Primary,39.32
11247,7638,320,Primary,4.65
11248,7639,125,Primary,18.83
11249,7639,68,Second Driver,21.52
11250,7640,68,Primary,13.76
11251,7640,66,Second Driver,13.83
11252,7641,94,Primary,29.86
11253,7642,104,Primary,1.68
11254,7643,398,Primary,9.57
11255,7644,208,Primary,13.95
11256,7645,185,Primary,8.41
11257,7646,420,Primary,14.27
11258,7646,85,Second Driver,16.28
11259,7647,144,Primary,11.57
11260,7648,241,Primary,13.8
11261,7648,150,Second Driver,13.02
11262,7649,221,Primary,12.64
11263,7649,226,Second Driver,10.76
11264,7650,66,Primary,10.14
11265,7651,10,Primary,5.86
11266,7651,239,Second Driver,6.25
11267,7652,412,Primary,10.08
11268,7652,102,Second Driver,9.3
11269,7653,176,Primary,6.26
11270,7653,152,Second Driver,6.64
11271,7654,158,Primary,16.89
11272,7654,326,Second Driver,14.98
11273,7655,100,Primary,30.2
11274,7656,206,Primary,21.61
11275,7656,176,Second Driver,19.47
11276,7657,69,Primary,8.43
11277,7658,30,Primary,29.23
11278,7659,401,Primary,10.64
11279,7659,412,Second Driver,10.01
11280,7660,75,Primary,2.07
11281,7661,340,Primary,21.52
11282,7661,59,Second Driver,21.55
11283,7662,234,Primary,7.67
11284,7662,269,Second Driver,7.17
11285,7663,389,Primary,11.99
11286,7663,269,Second Driver,11.87
11287,7664,125,Primary,16.4
11288,7664,65,Second Driver,16.02
11289,7665,385,Primary,21.44
11290,7665,145,Second Driver,19.41
11291,7666,167,Primary,9.5
11292,7667,46,Primary,8.41
11293,7667,240,Second Driver,8.61
11294,7668,279,Primary,10.62
11295,7668,16,Second Driver,11.04
11296,7669,226,Primary,20.9
11297,7669,15,Second Driver,18.72
11298,7670,380,Primary,5.92
11299,7670,84,Second Driver,6.88
11300,7671,100,Primary,18.0
11301,7671,278,Second Driver,19.79
11302,7672,301,Primary,16.78
11303,7672,69,Second Driver,18.33
11304,7673,26,Primary,21.65
11305,7673,114,Second Driver,22.48
11306,7674,85,Primary,17.83
11307,7674,62,Second Driver,19.63
11308,7675,23,Primary,17.59
11309,7675,358,Second Driver,17.27
11310,7676,16,Primary,6.22
11311,7677,410,Primary,19.39
11312,7677,359,Second Driver,19.45
11313,7678,415,Primary,6.61
11314,7679,221,Primary,17.33
11315,7679,370,Second Driver,19.05
11316,7680,226,Primary,11.58
11317,7680,359,Second Driver,12.14
11318,7681,294,Primary,12.77
11319,7682,162,Primary,23.37
11320,7683,226,Primary,9.0
11321,7683,368,Second Driver,9.3
11322,7684,79,Primary,27.5
11323,7684,398,Second Driver,27.16
11324,7685,312,Primary,6.06
11325,7686,299,Primary,38.49
11326,7687,58,Primary,20.15
11327,7688,264,Primary,12.69
11328,7688,93,Second Driver,12.22
11329,7689,366,Primary,26.37
11330,7690,59,Primary,19.21
11331,7690,414,Second Driver,20.99
11332,7691,399,Primary,17.47
11333,7691,69,Second Driver,15.75
11334,7692,126,Primary,13.22
11335,7693,327,Primary,50.55
11336,7694,13,Primary,17.27
11337,7695,323,Primary,14.08
11338,7696,107,Primary,0.49
11339,7697,407,Primary,9.57
11340,7698,104,Primary,6.97
11341,7698,103,Second Driver,8.48
11342,7699,291,Primary,5.24
11343,7699,85,Second Driver,5.98
11344,7700,346,Primary,3.91
11345,7701,128,Primary,18.33
11346,7701,262,Second Driver,19.04
11347,7702,199,Primary,15.64
11348,7702,133,Second Driver,17.03
11349,7703,79,Primary,9.44
11350,7703,76,Second Driver,9.07
11351,7704,243,Primary,13.9
11352,7704,25,Second Driver,16.61
11353,7705,94,Primary,8.21
11354,7705,125,Second Driver,8.09
11355,7706,263,Primary,24.84
11356,7707,88,Primary,10.0
11357,7707,111,Second Driver,9.25
11358,7708,43,Primary,3.98
11359,7709,51,Primary,8.39
11360,7709,31,Second Driver,7.86
11361,7710,168,Primary,8.38
11362,7710,255,Second Driver,7.91
11363,7711,320,Primary,14.82
11364,7711,161,Second Driver,13.7
11365,7712,206,Primary,11.9
11366,7713,49,Primary,18.09
11367,7713,403,Second Driver,19.29
11368,7714,206,Primary,16.66
11369,7715,338,Primary,31.72
11370,7716,129,Primary,9.5
11371,7716,216,Second Driver,9.7
11372,7717,125,Primary,7.04
11373,7718,346,Primary,9.59
11374,7718,214,Second Driver,10.71
11375,7719,88,Primary,5.99
11376,7719,50,Second Driver,5.94
11377,7720,54,Primary,6.68
11378,7721,361,Primary,19.74
11379,7722,90,Primary,21.52
11380,7722,351,Second Driver,23.44
11381,7723,346,Primary,44.39
11382,7724,123,Primary,15.07
11383,7724,223,Second Driver,13.62
11384,7725,386,Primary,25.92
11385,7726,360,Primary,14.93
11386,7726,250,Second Driver,16.85
11387,7727,21,Primary,13.5
11388,7727,62,Second Driver,14.04
11389,7728,216,Primary,16.33
11390,7728,53,Second Driver,15.3
11391,7729,106,Primary,20.83
11392,7729,413,Second Driver,20.95
11393,7730,62,Primary,10.32
11394,7731,185,Primary,36.51
11395,7732,360,Primary,43.18
11396,7733,279,Primary,9.92
11397,7733,156,Second Driver,8.14
11398,7734,368,Primary,1.15
11399,7735,104,Primary,12.97
11400,7735,37,Second Driver,13.65
11401,7736,278,Primary,3.08
11402,7737,179,Primary,5.33
11403,7738,289,Primary,45.53
11404,7739,3,Primary,7.65
11405,7739,321,Second Driver,8.15
11406,7740,198,Primary,19.96
11407,7740,308,Second Driver,19.1
11408,7741,203,Primary,7.49
11409,7742,366,Primary,44.78
11410,7743,382,Primary,1.99
11411,7744,141,Primary,30.45
11412,7745,3,Primary,40.6
11413,7746,220,Primary,3.65
11414,7747,419,Primary,29.66
11415,7748,248,Primary,22.41
11416,7749,389,Primary,29.12
11417,7750,391,Primary,17.04
11418,7750,330,Second Driver,15.69
11419,7751,217,Primary,15.53
11420,7751,370,Second Driver,15.44
11421,7752,43,Primary,13.61
11422,7752,309,Second Driver,12.99
11423,7753,202,Primary,16.33
11424,7753,244,Second Driver,15.53
11425,7754,168,Primary,18.75
11426,7755,196,Primary,14.83
11427,7756,80,Primary,14.66
11428,7757,367,Primary,0.68
11429,7758,63,Primary,49.97
11430,7759,188,Primary,12.04
11431,7759,376,Second Driver,14.03
11432,7760,49,Primary,7.11
11433,7761,62,Primary,14.14
11434,7761,248,Second Driver,12.45
11435,7762,383,Primary,12.14
11436,7762,61,Second Driver,13.37
11437,7763,92,Primary,18.76
11438,7763,15,Second Driver,16.93
11439,7764,80,Primary,1.47
11440,7765,270,Primary,26.89
11441,7766,82,Primary,34.55
11442,7767,412,Primary,4.37
11443,7768,290,Primary,10.56
11444,7768,336,Second Driver,11.4
11445,7769,166,Primary,18.17
11446,7769,405,Second Driver,19.18
11447,7770,19,Primary,19.47
11448,7770,85,Second Driver,18.25
11449,7771,155,Primary,12.62
11450,7771,207,Second Driver,13.18
11451,7772,21,Primary,26.2
11452,7773,281,Primary,1.29
11453,7774,321,Primary,24.34
11454,7775,183,Primary,1.74
11455,7776,290,Primary,14.77
11456,7776,395,Second Driver,15.24
11457,7777,193,Primary,8.52
11458,7778,20,Primary,11.43
11459,7778,341,Second Driver,12.73
11460,7779,69,Primary,0.74
11461,7780,224,Primary,50.99
11462,7781,370,Primary,13.57
11463,7781,3,Second Driver,13.26
11464,7782,249,Primary,43.95
11465,7783,228,Primary,11.98
11466,7783,143,Second Driver,10.34
11467,7784,295,Primary,12.59
11468,7785,114,Primary,6.7
11469,7786,264,Primary,11.03
11470,7787,305,Primary,21.68
11471,7788,128,Primary,41.84
11472,7789,389,Primary,11.54
11473,7789,18,Second Driver,11.08
11474,7790,344,Primary,29.73
11475,7791,165,Primary,5.55
11476,7791,62,Second Driver,5.64
11477,7792,403,Primary,6.44
11478,7792,271,Second Driver,6.86
11479,7793,376,Primary,12.24
11480,7793,322,Second Driver,12.44
11481,7794,197,Primary,17.38
11482,7795,271,Primary,17.21
11483,7796,53,Primary,16.19
11484,7797,240,Primary,23.51
11485,7798,92,Primary,31.47
11486,7799,160,Primary,2.72
11487,7800,6,Primary,20.85
11488,7800,319,Second Driver,18.15
11489,7801,123,Primary,12.17
11490,7801,386,Second Driver,11.28
11491,7802,228,Primary,0.82
11492,7803,161,Primary,7.25
11493,7803,366,Second Driver,7.06
11494,7804,313,Primary,8.21
11495,7805,378,Primary,20.59
11496,7805,46,Second Driver,23.03
11497,7806,310,Primary,41.19
11498,7807,266,Primary,16.4
11499,7807,9,Second Driver,15.86
11500,7808,137,Primary,14.59
11501,7808,26,Second Driver,12.65
11502,7809,85,Primary,12.09
11503,7809,382,Second Driver,13.25
11504,7810,323,Primary,4.24
11505,7810,3,Second Driver,4.98
11506,7811,290,Primary,11.82
11507,7812,389,Primary,8.8
11508,7812,284,Second Driver,9.62
11509,7813,415,Primary,10.12
11510,7814,200,Primary,18.87
11511,7814,251,Second Driver,17.7
11512,7815,19,Primary,14.16
11513,7815,6,Second Driver,12.7
11514,7816,210,Primary,19.12
11515,7816,234,Second Driver,19.6
11516,7817,19,Primary,19.96
11517,7817,278,Second Driver,20.1
11518,7818,169,Primary,16.69
11519,7818,48,Second Driver,17.31
11520,7819,96,Primary,33.41
11521,7820,162,Primary,12.13
11522,7820,418,Second Driver,11.62
11523,7821,402,Primary,8.44
11524,7821,170,Second Driver,8.49
11525,7822,94,Primary,2.84
11526,7823,267,Primary,17.96
11527,7823,357,Second Driver,19.04
11528,7824,133,Primary,21.71
11529,7825,277,Primary,13.3
11530,7826,43,Primary,20.37
11531,7826,236,Second Driver,20.0
11532,7827,388,Primary,15.61
11533,7828,305,Primary,20.74
11534,7828,192,Second Driver,20.44
11535,7829,399,Primary,21.36
11536,7830,169,Primary,0.66
11537,7831,150,Primary,17.8
11538,7831,199,Second Driver,17.57
11539,7832,326,Primary,9.4
11540,7833,23,Primary,13.65
11541,7833,10,Second Driver,14.23
11542,7834,389,Primary,20.59
11543,7834,108,Second Driver,20.5
11544,7835,76,Primary,1.74
11545,7836,318,Primary,31.68
11546,7837,198,Primary,9.88
11547,7838,279,Primary,17.6
11548,7838,254,Second Driver,17.64
11549,7839,339,Primary,19.15
11550,7840,322,Primary,13.09
11551,7840,317,Second Driver,15.53
11552,7841,362,Primary,7.61
11553,7841,269,Second Driver,7.86
11554,7842,399,Primary,11.74
11555,7843,137,Primary,18.02
11556,7843,309,Second Driver,18.3
11557,7844,10,Primary,11.95
11558,7844,20,Second Driver,11.08
11559,7845,73,Primary,11.64
11560,7846,38,Primary,12.14
11561,7846,373,Second Driver,12.44
11562,7847,160,Primary,14.75
11563,7847,349,Second Driver,16.26
11564,7848,244,Primary,12.41
11565,7848,214,Second Driver,13.6
11566,7849,184,Primary,8.44
11567,7850,147,Primary,35.7
11568,7851,274,Primary,37.13
11569,7852,61,Primary,11.72
11570,7852,125,Second Driver,10.91
11571,7853,126,Primary,13.2
11572,7853,221,Second Driver,14.53
11573,7854,304,Primary,8.13
11574,7855,410,Primary,25.8
11575,7856,54,Primary,25.45
11576,7856,31,Second Driver,24.36
11577,7857,221,Primary,15.31
11578,7857,321,Second Driver,17.51
11579,7858,43,Primary,30.9
11580,7859,38,Primary,15.67
11581,7859,294,Second Driver,15.86
11582,7860,66,Primary,3.33
11583,7861,271,Primary,27.58
11584,7862,310,Primary,6.08
11585,7863,96,Primary,11.03
11586,7863,7,Second Driver,10.02
11587,7864,89,Primary,34.01
11588,7865,309,Primary,22.84
11589,7865,414,Second Driver,20.84
11590,7866,250,Primary,8.79
11591,7866,265,Second Driver,8.59
11592,7867,352,Primary,18.1
11593,7867,9,Second Driver,18.84
11594,7868,92,Primary,0.89
11595,7869,397,Primary,18.96
11596,7870,147,Primary,4.81
11597,7871,117,Primary,2.76
11598,7872,39,Primary,2.98
11599,7873,200,Primary,17.46
11600,7873,41,Second Driver,16.34
11601,7874,168,Primary,17.04
11602,7874,398,Second Driver,15.8
11603,7875,39,Primary,9.54
11604,7876,103,Primary,49.19
11605,7877,256,Primary,15.74
11606,7878,359,Primary,4.57
11607,7879,16,Primary,2.42
11608,7880,232,Primary,18.1
11609,7880,314,Second Driver,15.87
11610,7881,244,Primary,8.32
11611,7881,73,Second Driver,8.22
11612,7882,14,Primary,14.0
11613,7882,12,Second Driver,14.39
11614,7883,221,Primary,9.19
11615,7884,326,Primary,14.36
11616,7884,340,Second Driver,14.11
11617,7885,125,Primary,19.01
11618,7885,346,Second Driver,17.41
11619,7886,107,Primary,5.25
11620,7887,50,Primary,7.46
11621,7887,42,Second Driver,6.84
11622,7888,182,Primary,10.38
11623,7889,384,Primary,6.26
11624,7889,134,Second Driver,6.29
11625,7890,325,Primary,28.66
11626,7891,264,Primary,10.64
11627,7892,99,Primary,29.71
11628,7893,47,Primary,1.32
11629,7894,109,Primary,8.94
11630,7894,298,Second Driver,7.83
11631,7895,161,Primary,16.82
11632,7895,343,Second Driver,19.1
11633,7896,309,Primary,8.49
11634,7896,222,Second Driver,7.62
11635,7897,389,Primary,4.22
11636,7898,50,Primary,11.98
11637,7898,280,Second Driver,10.46
11638,7899,61,Primary,12.27
11639,7899,418,Second Driver,12.49
11640,7900,46,Primary,7.28
11641,7900,134,Second Driver,7.81
11642,7901,240,Primary,22.73
11643,7902,135,Primary,20.87
11644,7903,282,Primary,13.8
11645,7904,370,Primary,15.76
11646,7905,73,Primary,29.16
11647,7906,370,Primary,13.14
11648,7906,144,Second Driver,12.39
11649,7907,49,Primary,15.48
11650,7907,11,Second Driver,15.18
11651,7908,371,Primary,7.47
11652,7909,219,Primary,13.87
11653,7909,38,Second Driver,14.92
11654,7910,35,Primary,7.62
11655,7910,105,Second Driver,7.26
11656,7911,418,Primary,10.09
11657,7912,161,Primary,29.78
11658,7913,251,Primary,19.34
11659,7913,95,Second Driver,19.33
11660,7914,120,Primary,22.99
11661,7915,216,Primary,18.72
11662,7915,320,Second Driver,17.74
11663,7916,212,Primary,16.17
11664,7916,104,Second Driver,17.45
11665,7917,237,Primary,22.07
11666,7917,343,Second Driver,21.08
11667,7918,56,Primary,10.4
11668,7918,200,Second Driver,9.78
11669,7919,65,Primary,14.27
11670,7919,45,Second Driver,15.36
11671,7920,406,Primary,16.07
11672,7920,41,Second Driver,15.84
11673,7921,62,Primary,22.99
11674,7921,6,Second Driver,22.06
11675,7922,216,Primary,25.69
11676,7923,49,Primary,8.31
11677,7923,319,Second Driver,7.62
11678,7924,12,Primary,13.0
11679,7924,63,Second Driver,17.9
11680,7925,362,Primary,19.61
11681,7925,336,Second Driver,19.32
11682,7926,340,Primary,17.87
11683,7926,168,Second Driver,17.13
11684,7927,12,Primary,25.19
11685,7927,370,Second Driver,26.97
11686,7928,106,Primary,11.45
11687,7929,41,Primary,11.8
11688,7930,393,Primary,10.56
11689,7930,2,Second Driver,9.85
11690,7931,329,Primary,9.25
11691,7932,281,Primary,10.56
11692,7932,20,Second Driver,11.29
11693,7933,285,Primary,26.36
11694,7934,48,Primary,27.91
11695,7934,291,Second Driver,25.6
11696,7935,320,Primary,27.93
11697,7936,322,Primary,8.17
11698,7936,376,Second Driver,8.38
11699,7937,159,Primary,39.47
11700,7938,15,Primary,0.59
11701,7939,152,Primary,34.42
11702,7940,186,Primary,12.53
11703,7940,181,Second Driver,14.62
11704,7941,404,Primary,20.74
11705,7942,358,Primary,19.43
11706,7942,177,Second Driver,17.35
11707,7943,11,Primary,13.07
11708,7943,97,Second Driver,13.48
11709,7944,85,Primary,6.92
11710,7945,334,Primary,5.67
11711,7946,375,Primary,3.37
11712,7947,85,Primary,8.36
11713,7947,62,Second Driver,8.8
11714,7948,75,Primary,21.29
11715,7949,204,Primary,8.94
11716,7949,209,Second Driver,9.12
11717,7950,325,Primary,16.6
11718,7950,65,Second Driver,17.78
11719,7951,219,Primary,6.73
11720,7951,64,Second Driver,7.28
11721,7952,73,Primary,23.64
11722,7953,34,Primary,9.97
11723,7954,229,Primary,31.5
11724,7955,357,Primary,34.18
11725,7956,418,Primary,8.34
11726,7956,68,Second Driver,8.35
11727,7957,215,Primary,38.89
11728,7958,263,Primary,21.23
11729,7959,39,Primary,9.87
11730,7959,274,Second Driver,10.73
11731,7960,100,Primary,25.44
11732,7960,6,Second Driver,25.79
11733,7961,292,Primary,9.79
11734,7962,344,Primary,13.82
11735,7962,133,Second Driver,12.97
11736,7963,217,Primary,14.52
11737,7964,389,Primary,24.39
11738,7964,345,Second Driver,23.24
11739,7965,335,Primary,0.81
11740,7966,48,Primary,27.81
11741,7967,248,Primary,22.88
11742,7968,202,Primary,18.76
11743,7968,61,Second Driver,20.01
11744,7969,406,Primary,6.55
11745,7970,150,Primary,8.13
11746,7971,63,Primary,14.11
11747,7972,347,Primary,23.32
11748,7973,346,Primary,8.13
11749,7973,125,Second Driver,8.19
11750,7974,62,Primary,10.99
11751,7974,97,Second Driver,10.41
11752,7975,391,Primary,7.7
11753,7975,132,Second Driver,7.93
11754,7976,44,Primary,10.13
11755,7977,250,Primary,23.87
11756,7978,322,Primary,1.66
11757,7979,321,Primary,16.85
11758,7980,216,Primary,7.13
11759,7980,129,Second Driver,6.63
11760,7981,373,Primary,7.12
11761,7981,64,Second Driver,6.66
11762,7982,62,Primary,10.35
11763,7982,291,Second Driver,9.75
11764,7983,3,Primary,15.11
11765,7983,12,Second Driver,13.58
11766,7984,413,Primary,10.63
11767,7984,203,Second Driver,10.22
11768,7985,93,Primary,18.23
11769,7986,139,Primary,1.35
11770,7987,271,Primary,44.92
11771,7988,51,Primary,27.71
11772,7989,183,Primary,8.25
11773,7989,178,Second Driver,7.62
11774,7990,14,Primary,20.98
11775,7990,305,Second Driver,20.69
11776,7991,285,Primary,17.95
11777,7992,114,Primary,28.06
11778,7993,174,Primary,27.53
11779,7993,296,Second Driver,25.35
11780,7994,190,Primary,6.28
11781,7994,342,Second Driver,6.67
11782,7995,215,Primary,8.98
11783,7996,376,Primary,9.52
11784,7996,235,Second Driver,8.61
11785,7997,164,Primary,9.86
11786,7998,352,Primary,10.63
11787,7998,9,Second Driver,11.01
11788,7999,370,Primary,9.57
11789,7999,14,Second Driver,9.56
11790,8000,419,Primary,1.41
11791,8001,66,Primary,8.5
11792,8001,214,Second Driver,7.4
11793,8002,66,Primary,14.82
11794,8002,346,Second Driver,16.08
11795,8003,83,Primary,10.18
11796,8004,87,Primary,15.11
11797,8004,187,Second Driver,15.84
11798,8005,76,Primary,13.4
11799,8005,114,Second Driver,12.39
11800,8006,322,Primary,38.14
11801,8007,403,Primary,30.47
11802,8008,284,Primary,10.26
11803,8008,362,Second Driver,10.24
11804,8009,12,Primary,17.89
11805,8009,323,Second Driver,17.57
11806,8010,134,Primary,12.84
11807,8010,343,Second Driver,13.63
11808,8011,141,Primary,6.68
11809,8011,400,Second Driver,6.0
11810,8012,15,Primary,15.36
11811,8012,3,Second Driver,13.85
11812,8013,247,Primary,23.32
11813,8013,15,Second Driver,21.52
11814,8014,34,Primary,6.95
11815,8014,27,Second Driver,6.41
11816,8015,129,Primary,15.55
11817,8015,8,Second Driver,16.16
11818,8016,121,Primary,13.78
11819,8016,373,Second Driver,12.74
11820,8017,367,Primary,31.52
11821,8018,176,Primary,7.48
11822,8019,59,Primary,7.55
11823,8019,40,Second Driver,7.56
11824,8020,209,Primary,19.74
11825,8020,250,Second Driver,20.09
11826,8021,378,Primary,22.08
11827,8022,149,Primary,39.54
11828,8023,367,Primary,4.09
11829,8024,236,Primary,11.64
11830,8025,253,Primary,20.95
11831,8025,416,Second Driver,19.6
11832,8026,97,Primary,12.71
11833,8026,291,Second Driver,11.08
11834,8027,314,Primary,30.48
11835,8028,290,Primary,13.71
11836,8028,234,Second Driver,13.91
11837,8029,62,Primary,27.64
11838,8030,2,Primary,16.19
11839,8030,213,Second Driver,17.2
11840,8031,409,Primary,12.66
11841,8032,130,Primary,41.51
11842,8033,309,Primary,11.28
11843,8033,137,Second Driver,11.2
11844,8034,323,Primary,11.23
11845,8034,192,Second Driver,12.16
11846,8035,298,Primary,5.29
11847,8035,75,Second Driver,4.54
11848,8036,26,Primary,21.4
11849,8037,254,Primary,13.94
11850,8037,245,Second Driver,14.35
11851,8038,359,Primary,8.29
11852,8039,415,Primary,7.46
11853,8040,210,Primary,21.28
11854,8040,106,Second Driver,22.7
11855,8041,322,Primary,16.85
11856,8042,364,Primary,8.45
11857,8042,296,Second Driver,8.72
11858,8043,313,Primary,6.32
11859,8043,28,Second Driver,6.22
11860,8044,323,Primary,9.86
11861,8044,3,Second Driver,8.59
11862,8045,362,Primary,35.14
11863,8046,217,Primary,7.57
11864,8047,189,Primary,15.15
11865,8047,205,Second Driver,15.63
11866,8048,29,Primary,12.56
11867,8048,120,Second Driver,12.36
11868,8049,310,Primary,10.17
11869,8049,291,Second Driver,7.83
11870,8050,279,Primary,29.78
11871,8051,258,Primary,15.66
11872,8051,20,Second Driver,17.47
11873,8052,281,Primary,15.9
11874,8052,361,Second Driver,15.77
11875,8053,370,Primary,20.08
11876,8054,24,Primary,13.64
11877,8054,183,Second Driver,15.49
11878,8055,183,Primary,26.35
11879,8056,77,Primary,23.43
11880,8056,246,Second Driver,23.27
11881,8057,103,Primary,16.05
11882,8057,54,Second Driver,16.38
11883,8058,301,Primary,8.08
11884,8058,153,Second Driver,8.06
11885,8059,237,Primary,1.24
11886,8060,3,Primary,18.67
11887,8060,370,Second Driver,18.32
11888,8061,85,Primary,41.48
11889,8062,400,Primary,8.46
11890,8062,243,Second Driver,9.1
11891,8063,248,Primary,19.46
11892,8063,417,Second Driver,18.39
11893,8064,79,Primary,12.53
11894,8064,222,Second Driver,12.83
11895,8065,168,Primary,33.31
11896,8066,339,Primary,11.52
11897,8066,263,Second Driver,10.97
11898,8067,209,Primary,13.09
11899,8067,416,Second Driver,13.08
11900,8068,14,Primary,16.74
11901,8068,110,Second Driver,17.6
11902,8069,18,Primary,10.15
11903,8070,162,Primary,6.3
11904,8071,68,Primary,15.72
11905,8072,318,Primary,22.2
11906,8072,342,Second Driver,19.2
11907,8073,398,Primary,34.23
11908,8074,49,Primary,12.67
11909,8075,94,Primary,12.29
11910,8076,168,Primary,14.13
11911,8076,114,Second Driver,15.02
11912,8077,206,Primary,11.57
11913,8077,176,Second Driver,10.37
11914,8078,310,Primary,26.52
11915,8079,240,Primary,19.96
11916,8080,288,Primary,15.11
11917,8081,159,Primary,19.11
11918,8082,401,Primary,16.01
11919,8082,258,Second Driver,15.95
11920,8083,57,Primary,30.19
11921,8084,62,Primary,37.56
11922,8085,269,Primary,8.05
11923,8085,153,Second Driver,8.12
11924,8086,367,Primary,29.98
11925,8087,242,Primary,1.02
11926,8088,280,Primary,2.87
11927,8089,325,Primary,15.0
11928,8089,125,Second Driver,15.17
11929,8090,40,Primary,14.58
11930,8090,79,Second Driver,14.84
11931,8091,305,Primary,19.45
11932,8092,122,Primary,29.52
11933,8093,69,Primary,12.09
11934,8094,269,Primary,34.27
11935,8095,7,Primary,18.64
11936,8095,239,Second Driver,19.53
11937,8096,409,Primary,17.47
11938,8096,395,Second Driver,17.77
11939,8097,218,Primary,17.03
11940,8097,172,Second Driver,17.85
11941,8098,137,Primary,14.64
11942,8098,404,Second Driver,15.88
11943,8099,110,Primary,16.53
11944,8099,14,Second Driver,15.79
11945,8100,108,Primary,17.48
11946,8100,413,Second Driver,16.46
11947,8101,39,Primary,9.48
11948,8101,345,Second Driver,10.07
11949,8102,185,Primary,1.67
11950,8103,3,Primary,8.3
11951,8103,217,Second Driver,8.07
11952,8104,300,Primary,6.66
11953,8105,401,Primary,10.12
11954,8105,10,Second Driver,9.18
11955,8106,284,Primary,6.68
11956,8107,44,Primary,6.29
11957,8107,376,Second Driver,6.62
11958,8108,45,Primary,9.46
11959,8109,259,Primary,24.21
11960,8110,336,Primary,8.78
11961,8111,37,Primary,5.41
11962,8112,97,Primary,12.01
11963,8113,276,Primary,28.84
11964,8114,238,Primary,21.79
11965,8114,357,Second Driver,22.54
11966,8115,221,Primary,38.19
11967,8116,25,Primary,7.9
11968,8116,24,Second Driver,9.28
11969,8117,405,Primary,12.27
11970,8118,65,Primary,15.05
11971,8118,185,Second Driver,14.53
11972,8119,373,Primary,11.01
11973,8119,295,Second Driver,12.61
11974,8120,378,Primary,18.57
11975,8121,165,Primary,44.54
11976,8122,291,Primary,20.04
11977,8123,298,Primary,9.66
11978,8123,139,Second Driver,9.3
11979,8124,205,Primary,8.61
11980,8125,415,Primary,14.15
11981,8125,281,Second Driver,15.28
11982,8126,188,Primary,17.2
11983,8126,67,Second Driver,19.06
11984,8127,310,Primary,5.91
11985,8128,403,Primary,9.84
11986,8129,223,Primary,18.01
11987,8129,304,Second Driver,17.94
11988,8130,91,Primary,13.6
11989,8131,73,Primary,19.49
11990,8131,346,Second Driver,21.5
11991,8132,210,Primary,18.19
11992,8133,371,Primary,8.07
11993,8134,76,Primary,3.9
11994,8135,392,Primary,15.25
11995,8136,295,Primary,17.05
11996,8137,225,Primary,15.83
11997,8138,190,Primary,9.49
11998,8138,381,Second Driver,9.23
11999,8139,42,Primary,17.66
12000,8139,231,Second Driver,14.93
12001,8140,331,Primary,9.89
12002,8141,264,Primary,42.96
12003,8142,233,Primary,7.41
12004,8143,318,Primary,11.35
12005,8143,376,Second Driver,11.65
12006,8144,158,Primary,7.18
12007,8144,195,Second Driver,7.76
12008,8145,106,Primary,44.57
12009,8146,291,Primary,27.24
12010,8147,160,Primary,38.1
12011,8148,148,Primary,4.51
12012,8149,11,Primary,52.18
12013,8150,369,Primary,4.24
12014,8151,307,Primary,10.42
12015,8151,74,Second Driver,10.11
12016,8152,403,Primary,5.69
12017,8153,92,Primary,12.58
12018,8153,305,Second Driver,11.75
12019,8154,79,Primary,39.66
12020,8155,189,Primary,9.31
